"name","place_id"
"味香園甜品 Mei Heong Yuen Dessert","ChIJyX-Tdk0Z2jERcuntEQdmlf4"
"KOI The Cafe","ChIJkQz1tuwP2jERtT3rblijdjQ"
"Ichiban Bento (Paya Lebar MRT)","ChIJFdpUPxgY2jERCz2kSkVaRhM"
"Crystal Wines","ChIJHao5Q4EZ2jERilVsPmzCsNk"
"Liang Heng Food Stall","ChIJB0HjDGgX2jERfwO8rcsifDM"
"Happy Seafood Village","ChIJBZbJFzoY2jERT9wV7j-IVHg"
"KNS Restaurant Indian Muslim Food","ChIJW5UmLTY92jERHKQ3LeLjDEs"
"Taj Mahal Drinks Stall","ChIJC4AW4QYa2jERJYwMmGrxsrs"
"如意素食 Ru Yi Su Shi Vegetarian Store","ChIJcw0CjWga2jERUp8iFGfMpiY"
"Element On Tras","ChIJK31ToWwZ2jERUgDm_68FLVw"
"Seorae Korean Charcoal BBQ (Jem)","ChIJVVVR4w4Q2jERUjK6tn5v7qM"
"Suki-Ya","ChIJ5VFtN6MR2jERlBnUtI2yAg4"
"Sanpoutei ramen","ChIJ3WkWCmsa2jERj1k8QlM8IJs"
"Desa Kartika","ChIJkyYGZ5EZ2jER2TWLAcMEW84"
"Lazyfruits","ChIJrS6O5CMY2jERGubeFlzNZFs"
"萬興 Nasi Lemak","ChIJVa0IWroZ2jERMtrLjzhHhEY"
"Bountiful Restaurant","ChIJMQiFIdAb2jERK3knfICI9Cc"
"Four Seasons Chendol 四季煎蕊","ChIJJ7IVcG4X2jERDYe2CUOwTYc"
"Clan Cafe","ChIJC2FR5bsZ2jERhJvG2sNg1QQ"
"Fish & Co.","ChIJJUUgZecZ2jERmsgVzUSa0I0"
"Bangkok Jam Bugis+","ChIJRQH_1G4Z2jER6RfIfd2v7Oo"
"Fresh Fish Seafood Soup","ChIJw8LaJzoX2jERn5mAJg_GIME"
"Kemono Healthy Japanese Roast Chicken","ChIJQUIIr74Z2jERms15XL0kE8M"
"Hong Chang Frog Porridge and BBQ Fish","ChIJ00dEpJ8X2jEROHGTHJ8N-No"
"Hob Nob Cafe Bar","ChIJ3VmA_4wZ2jER47HmEGqIGHw"
"Hafiz Nasi Ayam Penyet","ChIJNyfFHxc82jERyV6wlRX4VZE"
"Food King","ChIJibOtHEEQ2jERFa-e93ZfeNg"
"Hai Tien Lo","ChIJ19hBkqgZ2jERi7DUUcP90-w"
"Lai Lai Heng Wanton Noodle","ChIJu3LSRh0X2jERiH2BKYoiheM"
"Takezo Ramen","ChIJ92L_Lo4a2jERJg8rQBiTOx0"
"Fishball Noodle","ChIJKzjm-wY92jERGvyxR667k7E"
"Hot Tomato Cafe & Grill- Steak & Pasta","ChIJw5gpJpEZ2jER9nm7KOTjGUQ"
"Daily Affairs Dining & Bar","ChIJHUX0eOwZ2jERRfeyK0_yvqQ"
"2D1N SOJU BANG KOREAN RESTAURANT","ChIJ_ex0XG0Z2jERMolA_9TT8gQ"
"Ruyi Yuan Vegetarian","ChIJofX7H9Ub2jERDNF39tfVIDI"
"D' Life","ChIJs9HpItkP2jERARN7osXzrpg"
"BAR-CELONA (sg)","ChIJaxZQbW0Z2jERDTsj2TrQHEU"
